,index,year,s&p_eps,s&p_closing_prices,real_gdp,average_10y_yield_%,average_annual_inflation
146,7718,2009.0,60.92,1002.6300050000001,15208834.0,3.26,-0.4
147,7719,2009.0,60.92,1005.650024,15208834.0,3.26,-0.4
148,7720,2009.0,60.92,1002.7199710000001,15208834.0,3.26,-0.4
149,7721,2009.0,60.92,997.080017,15208834.0,3.26,-0.4
150,7722,2009.0,60.92,1010.4799800000001,15208834.0,3.26,-0.4
151,7723,2009.0,60.92,1007.099976,15208834.0,3.26,-0.4
152,7724,2009.0,60.92,994.349976,15208834.0,3.26,-0.4
153,7725,2009.0,60.92,1005.8099980000001,15208834.0,3.26,-0.4
154,7726,2009.0,60.92,1012.7299800000001,15208834.0,3.26,-0.4
155,7727,2009.0,60.92,1004.090027,15208834.0,3.26,-0.4
156,7728,2009.0,60.92,979.7299800000001,15208834.0,3.26,-0.4
157,7729,2009.0,60.92,989.669983,15208834.0,3.26,-0.4
158,7730,2009.0,60.92,996.4600220000001,15208834.0,3.26,-0.4
159,7731,2009.0,60.92,1007.3699949999999,15208834.0,3.26,-0.4
160,7732,2009.0,60.92,1026.130005,15208834.0,3.26,-0.4
161,7733,2009.0,60.92,1025.569946,15208834.0,3.26,-0.4
162,7734,2009.0,60.92,1028.0,15208834.0,3.26,-0.4
163,7735,2009.0,60.92,1028.119995,15208834.0,3.26,-0.4
164,7736,2009.0,60.92,1030.97998,15208834.0,3.26,-0.4
165,7737,2009.0,60.92,1028.930054,15208834.0,3.26,-0.4
166,7738,2009.0,60.92,1020.6199949999999,15208834.0,3.26,-0.4
167,7739,2009.0,60.92,998.0399779999999,15208834.0,3.26,-0.4
168,7740,2009.0,60.92,994.75,15208834.0,3.26,-0.4
